Job_Loc,industry_compsize,usetime,score,review_title,review_body,review_pro,review_con
Owner in US,"Music, Self Employed",Used the Software for: 2+ years,5.0,Shopify For Dollars,I have used Shopify for a few years now and am happy with the service. I will continue to use this service.,I love using Shopify to sell my music and merchandise. This platform makes my store stand out with various design features and also allows me to give fans a unique experience while shopping.,The only thing about this software is that digital goods are hard to sell because of a lack of apps and features for these products. Especially music and music preview players and e-books.
Lead Designer in US,"Design, Self Employed",Used the Software for: 1+ year,5.0,Shopify - Easy to use and looks great!,"Overall, Shopify has been a great experience. It does everything well, and even though the backend can sometimes get confusing, the front-end product it delivers to users is beautiful and efficient. I highly recommend Shopify if someone is thinking about launching an online store. It's simple if you need it to be, and complex if you need to expand to fulfill a large online e-commerce presence.","Shopify is very good at what it does. I like that Shopify can be streamlined and simple, or complex and robust. It's easy to have a store up and running within a few hours. However, if you want to do Shopify well, I recommend diving into its vast features and offerings. One of Shopify's best features is their analytics tracking. When logging in, Shopify gives an overview dashboard of what is happening in your store. You can see recent orders, sales trends, and even where you're slacking on order fulfillment. Additionally, Shopify provides stats on abandoned checkout cart conversion percentage compared to other stores, sales earnings compared to previous weeks, and even shows which users are live on the site at the moment you view it.","Shopify has many, many strong points. However, it does get tricky with its product categorization. The way to classify product tags and collections is not intuitive, and can definitely confuse new users. Additionally, Shopify makes order shipping label printing difficult when not paired with one of their partners (USPS, UPS, DHL)."
"CEO, Marketing and Public Relations Professional in US","Marketing & Advertising, Self Employed",Used the Software for: 1-5 months,5.0,DO NOT HESITATE TO USE SHOPIFY!!!,"My overall experience with Shopify is that I will not be deleting my Shopify website! I love the platform, love the themes, love the many ways you can customize the themes, and love the thought that SO many huge companies are actually using Shopify as well! Fashion Nova, Steve Madden, Staples, etc. all use Shopify for their websites! Amazing to know someone small can create a website like the big companies and become successful all on their own! It’s definitely worth the time to give a try!","I liked that Shopify’s platform is very easy to use, even for a web-developing beginner! You need absolutely no skills to build a Shopify store that will amaze your website visitors! Simply select a theme that fits well with your store’s niche and go from there. There are so many app add-ons that you can download to your Shopify store to make it POP. And the best part? You can utilize their free-trial to build your website with no restrictions so that possibly at the end of your trial (like me) you are already ready to launch your store with the $30/month subscription!","I definitely do not like that most app add-ons are additional fees. Once you realize there are other apps you want/need, the cost adds up to where you will find yourself needing nearly a $100/month budget (unless you select a higher costing Shopify subscription, that can run you up to nearly a $200/month budget). More free (not just free-trial) apps need to be available because not everyone can afford to keep paying monthly for everything, ESPECIALLY during this pandemic. A reduced monthly subscription fee during this pandemic would have been super considerate!"
Co-founder in Belgium,"Apparel & Fashion, 2–10 Employees",Used the Software for: 1-5 months,4.0,Moving from woocommerce to Shopify: the right direction,We managed to set up a new website from scratch in a matter of days by modifying a paid theme and adding a set of key plugins.,"Shopify is a simple solution to get you started fast, without the need to code. The rare coding I had to do was also quite simple, allowing me to create the website from scratch in a matter of days (as opposed to weeks before).
The visual approach of the many themes that you can simply buy, add and start adapting makes it a breeze. It is this community approach that makes it interesting as the web is filled with questions & answers, plugins and themes - both free and paying.
The multitude of plugins make it easy to connect payment methods, delivery solutions or add additional features in no time. Not each plugin is equally well integrated, but that's rather the plugin's issue, not Shopify's.
Comparing it with our previous webshop that we created in Woocommerce, it wins hands down.","The downside of its more simplistic approach (in which you do no longer need to code), is that you give up on flexibility. Tweaking a theme is cumbersome, yet not impossible. Coming from Woocommerce (in combination with Wordpress), we had to switch our mindset: from creating what we wanted, we needed to comply with what was offered. Luckily, we found a great theme that made it easy to make that switch.
For companies who require a very specific approach, it might take some more work, but it is definitely feasible.
Technically speaking, it sometimes works strange, even counter intuitive or it's even hit or miss (with regards to saving, language switching etc). Luckily, it is a rare thing.
The monthly fee could be a drawback for some, but when you see what you get, it is definitely worth the cost."
IT Manager in Canada,"Apparel & Fashion, 51–200 Employees",Used the Software for: 2+ years,5.0,Shopify Makes B2C Easy and Affordable,Shopify has been fundamental in helping us to grow our e-commerce side of the business without causing too much work for us to maintain,Shopify really is the “keep it simple” solution that creates a good experience for the customer. This is probably the most important aspect as it is the impression you make to a customer before they actually receive your product,Sometimes you desire more features and often you need a 3rd party add on to make it happens. Not all 3rd party add-ons are straight forward and so sometimes it can take some work to make things as you want them
"Marketing & Advertising, 2–10 Employees",Used the Software for: 2+ years,Reviewer Source,5.0,Best e-commerce Website Hosting Platform,Our clients are extremely happy with Shopify as a website hosting platform and have seen positive increases in their business from having a platform that works so well.,Shopify is extremely user friendly and is designed to not break with updating like many of the other website hosting platforms. It is easy to update and page load speeds are quick. Their reporting is also user friendly.,Cost is slightly higher that their competitors like Wordpress or similar. This cost is easily recouped in the website performance and lack of need to continually update things.
Chief Executive Officer in Morocco,"Import & Export, 11–50 Employees",Used the Software for: 1+ year,5.0,The EASIEST Ecom platform all around the globe,"No more struggling to create an eCom website. I started creating websites and promoting my products a little bit late than others, but I was speechless once I started with Shopify the ease of use they give you to kickstart your project is astonishing.","Free themes: A friendly dashboard to complete your website in a blink of an eye
Real cheap: With only $29 you can design, track your product, manage your clients, and so on...
High secured platform: It gives you the power of creating your website and never ever worry about getting hacked or struggle with the server downtime.
Unlimited plugins and APPS: Yes it's like having an iPhone and you want to download an app for it, the Shopify app store is limitless any kind of app and plugins is available, and easy to install.
Customer service is available 24h/7 by email/Online Chat/ FAQ
Community: Huge community and video explanatory contents. YOU NEVER STRUGGLE.","Sometimes downloading a lot of APPs might make your website slow on loading, just need to be careful about what app you're integrating and just work with the MOST HAVE APPS."
Entrepeneur in Australia,"Apparel & Fashion, 2–10 Employees",Used the Software for: 2+ years,5.0,Why Shopify is the number 1 online shop builder,"Love it! You don't require frantic tech abilities, you do not need to bother with an endless financial plan, and you don't have to employ anybody to make your fantasy a reality. This makes Shopify a speedy and reasonable approach to creating a successful online store - No experience needed and you could literally begin constructing today from you mobile or computer!","Shopify is one of the most incredible web based business stages available today, particularly assuming that you maintain a bigger business. It's intended to assist with peopling fabricate their own, adaptable web-based store with many implicit elements, and huge loads of applications. You can sell items straightforwardly on your site, and across numerous commercial centres and web-based media.",There are just ten free subject layouts. In the event that you don't have any of the free layouts you should pay a one-time charge to utilize any of different subjects. In the event that you need broad customization you should comprehend Shopify's Liquid code or recruit a specialist in the event that you don't.
CTO in Spain,"Wholesale, 2–10 Employees",Used the Software for: 6-12 months,5.0,Best way to save time and money in e-com while still having a complete experience,"Excellent alternative that saves us a lot of headache and time, and provides our two stores with complete easy-to-install, no-middlemen solutions to convert more.","First of all, Shopify saves you a lot of time – specially if you're starting your e-com site by yourself and don't have a lot of technical expertise – as it is hugely flexible while being simple to use. Need a theme? There are hundreds of free and paid ones on themes.shopify.com. Multilingual features? Upsell features? All sorts of different marketing and client retention techniques? The Shopify App Store has hundreds of amazing apps. Automation to save you time while fulfilling orders with AliExpress? Oberlo has your back. POD? Printify connects to it. A free logo? hatchful.shopify.com Expert help? experts.shopify.com (plus numerous tutorials on YouTube). Tips? Oberlo's 101. Anyway, it is complete. You don't get that sort of stuff with Magento or WooCommerce.","The product editor is quite annoying. Sometimes you edit product variations, save it, then seconds/minutes later it goes back to where it was. So you have to keep saving and updating the page depending on what you work. Plus, the Text/HTML editor is not so ""rich"" as it seems. Constantly having trouble. I recommend using a free alternative HTML editor online and then pasting the code there."
"Real Estate, 2–10 Employees",Used the Software for: 6-12 months,Reviewer Source,5.0,Shopify Review,"As I would see it, Shopify is an astounding stage to develop with. They have the scale, elements, backing, and valuing to cover you whether you are a fresh out of the box new one-item shop - or then again to be the following Amazon. There's no upsell to the following arrangement level - everything is straightforward and clear.","Speedy, Easy Set-Up. In the event that getting your business online rapidly and effectively is important for your objective, Shopify is perhaps the best stage to help.
Client support.
Mobile friendly
Unimaginable Marketing and SEO Tools.
Security and Reliability.
Adaptability.
Incorporation Options.",The major con for Shopify is that the membership and exchange charges. Shopify plans start at $29 for essential plans and increment up to $299 for a few progressed plans. Different costs incorporate exchange charges related with selling on the web as well as membership expenses to utilize the applications you want.
Owner in US,"Apparel & Fashion, 2–10 Employees",Used the Software for: 2+ years,5.0,"Shopify is vital for e-commerce, but be weary of upgrading to Plus.","Overall, it has been great. I just wish that the sliding scale for Plus hosting started at a more reasonable amount ... I mean, if they took away my MSM and increased my CC processing, they should have reflected that in my monthly hosting. Just started at $1499 vs $2K would show more good faith in wanting to grow WITH a brand vs taking whatever they can get. (Hence I have been debating whether or not to downgrade back to ""advanced"" for ages but I use Plus to do advanced Tax Calculations @ checkout, etc) I am also really upset that now Shopify Payments does NOT refund the processing fees on canceled transactions - so if I have a high value/suspect order that I don't feel comfortable shipping, I am still out +/- 3% for nothing. (for the first 5+ years, the CC processing was refunded on canceled orders)","I have run my business on shopify for nearly 8 years. I love how user-friendly the backend is and how even with VERY limited coding experience, I can update cosmetic issues seamlessly and easily by myself through the theme editor.","There are a lot of things that could be better. I feel like the constant response when you need to figure out how to do something is, ""oh, there's an app for that"" ... and apps cost money. With ShopifyPlus, already being $2,000 a month, it can be pretty hard to stomach SO many third party apps to get stuff done. Especially when most 3rd party apps can clutter your theme-file and cause unexpected issues on the front end. I also am personally super salty over the fact that I migrated to ShopifyPlus years ago, from Advanced, to save money on credit card processing fees. Plus, at the time, was $999 a year and I was promised that I would be able to keep that ""grandfathered"" rate moving forward. But it did not take long for them to a) take away my preferred credit card processing rate due to higher-than-usual ratio of international transactions and then they ALSO doubled my monthly hosting from $999 to $2,000. But once you upgrade, it can be very hard to go back down to ""Advanced"". They also took away my ""merchant success manager"" ... so I am spending $2K a month on ""Plus"" and also had most of the ""Plus"" perks taken away from me. I just feel like Shopify doesn't care much about their store owners who've been around for so long."
Small Business Owner in US,"Retail, Self Employed",Used the Software for: 2+ years,5.0,JAM Shopify Review,"Well, around the beginning of the pandemic, I noticed many stores at physical locations closing. People were panicking with uncertainty of where to look next for their clothing, their shoes, anything else they may need. I got into retail to give consumers the reliable option the next time stores regardless of the reason ever closed down again, the solution of coming to an online store, knowing it is always open for them. With the current Recession, this may happen once again, and in doing so, this solution becomes more reliable, with delivery not being a problem, and Shopify software running smoothly, it makes sense for such solution provided. On the flip side, currently Savepace LLC has an issue that Shopify software does not have an answer for at this time as there are no financing options available on the software. Even if there were, Shopify would still have no answer for about 6 months. Overall, from billing to the order management, the site speed to no visual issues, its been a wonderful pleasant experience, and I expect it to continue as I seek to upgrade the software in the near future.","I like how I am able to run my retail business with a ton of support behind it, there is so much software ranging from Shopify's own to others I integrate that making building, growing the business less stressful. I really, really, like Shopify's accounting software that leaves people stunned! It allows me to keep better track of sales, fees, costs, and also allows me to project where finances may be within the next few months. I really like how the software updates without asking me to, updating in the background as I continue focusing on doing what I need to do with my store. The pricing of the software has always been reasonable, never too expensive, and never cheap, and, is based on my need. I really like how popular the software has become too, and the positive impacts it has worldwide such as saving small business owners a ton of money, choice of upgrading when ready, letting me know ahead of time when announcements about the software, and, anything else that maybe extremely important. As for integration, it depends on the app I choose, because while it may be easy to integrate onto the software, certain apps can be difficult to remove from the software once it has been integrated fully.","There is a passive-aggressive push for a Commerce plan to use on the software. Sure, for small businesses already on its mid approach that's appropriate as the developers should assist them as much as possible, but for many struggling business, the constant passive-aggressive push when logging onto the software can be a real pain, especially when focusing on order management. Regarding integration, certain apps require the software origination or for additional payments to process sort of like 3 months of back rent, even when it feels like its 3 months fronted rent before you can see that the integrated app has been removed. I advise Caution which apps users integrate overall. The design of it in the background could use a change. Its been three years. The software needs more style!! The security of it could use incorporation of VPN users, and currently the software does not have this."
Senior Consultant in US,"Information Technology & Services, 51–200 Employees",Used the Software for: 2+ years,5.0,Amazing eCommerce platform for novices and developers alike!,,,
Junior Software Developer in US,"Computer Software, 201–500 Employees",Used the Software for: 1+ year,5.0,Servis is good,"Although I have listed the minuses quite a bit, it is recommended for a quick start to e-commerce.It speeds up your work, it doesn't let you down.","It's really impressive. The plugins are expensive and they charge a monthly fee. Service is of good quality. it is detailed but not complicated . The most well-known payment systems for turkey are guarantee virtual pos (no installments), payu and iyzico. iyzico integration is newer . -Easy to define the discount. It is very easy to follow the orders thanks to the mobile application. There are many themes available at affordable prices on sites such as themeforest.com etc. Do not buy themes from their site, very expensive and simple themes. The template system works with a language called liquid. It's easy to set up once you get used to it. It does most of the SEO. their api is extensive and their documentation is good. The blog system is a bit weak. It did not go to shopify even though it was paid several times. In general, it can be said that it is quite easy to use compared to its competitors.","It limits the site in many ways. You cannot customize the checkout page. If you give thousands of dollars, they'll let you. urls have to take prefixes like pages/ collections/. It's frustrating not being able to remove them. In order to do real customization, it is necessary to learn the liquid language. It is a bit difficult to develop on it, there is no test environment. However, development can be done by putting the theme in preview mode and making changes on it."
Self Employed in UK,"Consumer Services, 11–50 Employees",Used the Software for: 1+ year,4.0,Shopify Review,"Shopify is one of the top rated ecommerce platforms available on the market today. It’s designed to assist, and help you construct your own scalable online business, with lot's of amazing integrated features, and apps to choose from. Shopify gives you the option to sell directly on your website, and across multiple marketplaces, and social media.","Shopify’s effective backend editor and awesome inventory system make it simple for managing and scaling stores.
You are able to sell across numerous channels, which include Facebook, Instagram, Amazon, and eBay.
Shopify gives you the option to choose from a selection of free, and paid templates. If you would prefer to use your own layout, you can make your very own from scratch.
Shopify has a brilliant library of apps and third party extensions that will help take your business to the next level.
Shopify has over one hundred price options to choose from, in addition to presenting their very own gateway, Shopify Payments.
Shopify has thorough, round the clock consumer support, and is accessible 24/7 to provide an assisting hand in case you ever need help in a sticky predicament.","Shopify is not as smooth to operate as some other platforms on the market.
Shopify’s editor can be a little challenging to begin with, and takes some time getting use to.
Shopify has fewer integrated functions than other platforms, so you’ll want to use other apps to simply raise the operation of your store.
Shopify has high transaction fees. Unless you always use Shopify Payments, you will end up having to pay a big transaction fee on top of other payment gateway costs.
Shopify is more costly than it appears to be. Transaction fees, a long with additional apps can increase the monthly cosy of running your store."
Student in India,"Education Management, Self Employed",Used the Software for: 6-12 months,4.0,"""Why Shopify is the best platform for my e-commerce business""","Shopify is for the most part viewed as a dependable and easy to use internet business stage that offers a great many highlights and devices to help organizations make and deal with their web-based stores. Clients value its usability, adaptability, and versatility, as well as adjustable layouts and subjects take into consideration a novel and expert looking web-based store.Shopify additionally offers different highlights and combinations that can assist organizations with smoothing out their tasks and lift their deals, for example, installment handling, transportation and satisfaction, and promoting and deals devices.Be that as it may, likewise with any stage, there are a few possible disadvantages to utilizing Shopify, for example, exchange charges, restricted customization choices for the checkout interaction, and a few revealed issues with client service.In general, Shopify is a famous decision for organizations of all sizes hoping to make and deal with their web-based stores, and its easy to use interface, extensive variety of highlights, and steady local area make it a significant device for internet business organizations.","a few benefits of Shopify that are ordinarily valued by its clients.One of the primary benefits of Shopify is its convenience. It has an easy to use interface that permits people and organizations, everything being equal, to make an internet based store rapidly and without any problem. The stage likewise gives a large number of adaptable layouts and subjects that can be utilized to make an extraordinary and proficient looking internet based store.One more benefit of Shopify is its adaptability. The stage offers a great many highlights and instruments that can be customized to meet the particular requirements of every business. Whether you are selling actual items, computerized items, or administrations, Shopify can be tweaked to suit your prerequisites.Shopify likewise has a huge and steady local area of engineers, originators, and clients who can give help and counsel on utilizing the stage successfully. This encouraging group of people can be especially useful for new clients who are simply beginning with Shopify.Generally, Shopify is a strong and easy to understand online business stage that can help organizations, everything being equal, to make and deal with their web-based stores.","One of the primary reactions of Shopify is its exchange expenses. Albeit the stage offers different estimating plans, which accompany different highlights and advantages, clients are as yet charged an exchange expense each time they make a deal. The exchange charges can accumulate after some time and might be a huge expense for organizations with high deals volumes.One more analysis of Shopify is the restricted plan customization choices for the checkout cycle. While Shopify offers a large number of adjustable topics and layouts for the web-based store, the checkout page has more restricted choices, which might restrict the marking open doors and client experience.At last, a few clients generally dislike Shopify's client assistance. While Shopify offers different assets and backing channels, for example, an assistance place, local area discussions, and email support, a few clients have detailed trouble in getting opportune and good goals to their questions and issues.In general, these are a few expected disadvantages of utilizing Shopify that a few clients have revealed, however it's significant that these issues may not matter to each client or might be offset by the advantages of utilizing the stage."
Étudiant in Cameroon,"Computer Networking, 11–50 Employees",Used the Software for: 1+ year,4.0,Our experience with Shopify: a reliable e-commerce platform for small and medium businesses,"Shopify allows me to easily and quickly create a professional and attractive store for my online clothing store, efficiently manage my products, orders and payments, and use marketing tools to enhance my business. It is an affordable and effective tool for businesses that want to start their online clothing business quickly, easy to use and offering great flexibility to customize my online store to my needs.","For me, the most popular features that have more impact are from Shopify are online store creation, inventory management, payment and shipping processes, and site appearance customization options. It also offers marketing and analytics tools for users, such as creating ad campaigns, integration with social networks, and the ability to track sales statistics.As far as ease of use goes, I, like many other users, find Shopify to be very intuitive and easy to use, even for those without technical knowledge. There is a lot of documentation and online guides to help users understand the different features, and their customer service is also very responsive.There are also numerous themes and customization options to help users create a site that matches their brand image. Users can also use third-party apps to add additional functionality to their online store.In summary, Shopify is considered an easy-to-use and powerful platform for businesses that want to launch an online business quickly. It offers a wide range of features to manage sales, inventory, and payments, and there is a large amount of resources to help users get the most out of the platform.","Like any e-commerce platform, Shopify has its limitations and there are features that could be improved. Some of the things that were mentioned by users include:Better integration with customer relationship management (CRM) systems for better contact and lead management.More advanced customization options for product pages to allow for better product presentation.Better integration with accounting software for more efficient financial management.Customization options for payment pages for a better user experience.And as many other users often mention, I find that some aspects of the platform can be difficult to use for non-technical users, such as advanced theme customization or setting up advanced shipping options. However, there are many resources online to help users understand these features and set them up"
Creative Director in UK,"Design, 2–10 Employees",Used the Software for: 2+ years,5.0,The best for e-commerce,Impressive e-commerce facilities. The best choice to build an online store.,"Of the big 3 website builders (Shopify, Squarespace, Wix), Shopify is hands down the best for e-commerce. The other platforms simply don't have the same level of e-commerce support - from advanced shipping options to the wide range of discounts you can create for your online store. The extensive App Store also offers easy-to-install plugins to enhance your website's functionality. If you're serious about growing your online store, Shopify is the way to go.","It has to be said that Shopify is not as pretty as Squarespace or Wix, both of which being more design-led platforms. Shopify 2.0 was a major upgrade, in that you can now add design blocks to every page. But unless you know how to do custom coding, the design features are still somewhat limited. The email campaign feature is buggy - Wix is much better for that, but then Wix isn't really suited to run an online store."
Digital Marketing Sales Specialist in Spain,"Banking, 10,000+ Employees",Used the Software for: 1+ year,4.0,High cart flexibility and low cost,"You can later extend the required functions with third-party applications developed by others. There are numerous applications available, ranging from website functionality to marketing functionality. There are many paid features and many payment methods that can be used with no monthly fees and payment only. There are many design templates, from free to paid, and scalability is high.","There is a high degree of freedom in page configuration when creating an EC site. In addition to the look and feel of the design, you can customize it with a wide variety of applications, so even amateurs can complete an EC site that looks like it was created from scratch by a professional. You can also update your blog. With a wide range of payment methods, we can offer customers a seamless shopping experience. Above all, the costs and maintenance fees are cheaper than other cart API systems.","The initial status of the mail template is not ready for use as-is, and its customization is quite complicated. If two days have passed since the order was placed, the payment status of a convenience store, etc. will be shown as ""expired"" even before the payment deadline, which will complicate the order management."
Web Specialist in US,"Sporting Goods, 11–50 Employees",Used the Software for: 1-5 months,3.0,Shopify is the Yahoo Stores for a New Generation,"We are only now setting up the store and getting into using the software so my opinion may change over time (although I doubt it will be for the better). Like Yahoo Stores before them they felt the need to write their own program language for the store instead of using tried and true coding that everyone knows or understands at this point. Making it difficult to change or adjust your store template easily. Also like Yahoo they take a percentage of your sales on top of the monthly fees. If someone needs a site for a few items, can use one of the free templates, doesn't want to use too many other features, and doesn't have a dedicated ecommerce manager then this may be a good solution for you. If you need to set up additional metafields or have better control over you SEO, you may want to look somewhere else. Expect multiple monthly subscriptions and fees above the Shopify fees as you will need to use other apps in your store.","Modern eCommerce selling features.
Hopefully better shopping experience for our customers than our old solution.","Monthly fees PLUS a per transaction fee.
Uses a custom script/language instead of standard coding. (Liquid).
Does not utilize WebDAV or FTP for file uploads.
Does not allow import/export of anything other than basic product information without use of a third party app.
Relies on 3rd party apps to offer features other carts offer out of the box.
Cannot customize the checkout process, must do what they say is best.
Poor SEO controls."
Website Manager in Australia,"Newspapers, 5,001–10,000 Employees",Used the Software for: 2+ years,4.0,Works reasonably well out of the box,Shopify is a good platform to get you up and running very quickly. It is one big ecosystem that sometimes works in your favour but unfortunately very much works in theirs.,"Shopify does a good job of enabling you to start selling very quickly. You need to be aware that this only includes very limited functionality though and any extra options you may need to add, even as simple as a pre-sale or adding meta fields (custom fields) requires an monthly fee for an App. We currently have 5 Apps installed that almost cost the same as our subscription charge but I have been involved in some Shopify projects where the App to subscription charge was triple. You need to really consider what functionality you deem necessary before adding extra apps as this can all add up. Of course if the functionality is necessary and pays for itself with one order then it is all worth it.",The core functionality is a little limited. Shopify+ has the promise of almost unlimited functionality but the cost is prohibitive for most shops and even though they could give standard Shopify users access to some of these functions they don’t so most functionality does require an App
"Consumer Goods, Self Employed",Used the Software for: 2+ years,Reviewer Source,5.0,Good ecommerce platform,My domain is hosted by a different company but I was able to easily link the shopify site to my domain using the DNS as shop.domain.uk,"The order and stock management system is really good. The platform allows you to create tags and searchable functions which in turn help your customers.
A variety of different payment methods can be added
Holiday mode can be activated where orders are not accepted and you pay a lower monthly fee.
Lots of great templates to use to create your site quickly. Great apps that you can integrate including things like newsletter sign up or customer loyalty schemes","Takes a little while to add all your products but worth it once done.
If you want to set up automatic postage costs you will need to know the weight of everything you have on your site."
